itsp_track_sym,x8_track_sym,jcp_track_sym,jcp_track_name,gts_track_name,chart_file_sym,confirm_waw_sym,meet_sym,WN,PL,SH,EX,QU,TR,SU,SH5,DB,P3,P4,P5,P6,min_WN,min_PL,min_SH,min_EX,min_QN,min_TR,min_SU,min_SH5,min_DD,min_P3,min_P4,min_P5,min_P6,min_P7
MTD,MTH,MTH,MONMOUTH PARK,Monmouth Park,MTH,MTD,MTD,0.013500000000000002,0.013500000000000002,0.013500000000000002,0.0235,0.0034999999999999996,0.0535,0.0535,0.0,0.0235,0.0535,0.0034999999999999996,0.0034999999999999996,0.0285,[1.0],[1.0],[1.0],[1.0],,[0.5],[0.1],,[1.0],[0.5],[0.5],[0.5],[0.2],
MVD,MVR,MVR,MAHONING VALLEY RACE COURSE,Mahoning Valley,MVR,MVD,MVD,0.0565,0.0565,0.0565,0.1015,0.0,0.1015,0.1015,0.1015,0.1015,0.0265,0.0265,0.0,0.0765,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,[2.0],[0.5],[0.5],,[0.2],
NDT,NPX,NPX,NORTHLANDS PARK,Northlands Park,NP,NDT,NDT,0.0965,0.0965,0.0965,0.1745,0.0,0.1945,0.1945,0.1945,0.1745,0.1945,0.1945,0.1945,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[1.0],[0.2],[0.2],"[1.0, 2.0]",[1.0],[1.0],[1.0],,
OPM,OPX,OPX,OAKLAWN PARK,Oaklawn Park,OP,OPM,OPM,0.0315,0.0315,0.0315,0.07150000000000001,0.0,0.07150000000000001,0.07150000000000001,0.07150000000000001,0.07150000000000001,0.07150000000000001,0.07150000000000001,0.07150000000000001,0.07150000000000001,[2.0],[2.0],[2.0],[1.0],,[0.5],[0.1],,[1.0],[0.5],[0.5],[0.5],,
,OSA,OSA,OAK TREE AT SANTA ANITA,,OSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTC,OTC,OCALA TRAINING CENTER,,OTC,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEN,PEN,PEN,PENN NATIONAL,Penn National,PEN,PEN,PEN,0.0565,0.0565,0.0565,0.08650000000000001,0.0,0.19649999999999998,0.1865,0.1865,0.08650000000000001,0.1365,0.1365,0.0,0.08650000000000001,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,"[1.0, 2.0]",[0.5],[0.5],,[0.2],
PHD,PHA,PHA,PARX RACING,Parx Racing,PHA,PHD,PHD,0.0765,0.0765,0.0765,0.10650000000000001,0.0,0.2065,0.2065,0.2065,0.10650000000000001,0.16649999999999998,0.16649999999999998,0.0,0.16649999999999998,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,"[1.0, 2.0]","[1.0, 2.0]",[0.5],,,
QIN,PID,PID,PRESQUE ISLE DOWNS,Presque Isle,PID,QIN,QIN,0.0665,0.0665,0.0665,0.0965,0.0,0.14650000000000002,0.14650000000000002,0.14650000000000002,0.0965,0.1265,0.1265,0.1265,0.1265,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,[1.0],[0.5],[0.5],[0.5],,
PIM,PIM,PIM,PIMLICO,Pimlico,PIM,,No Code,0.0175,0.0175,0.0175,0.031,0.0,0.0524,0.0524,0.004,0.031,0.0524,0.0524,0.0,0.0265,,,,,,,,,,,,,,
